근무일자,입실시간,퇴실시간,근무시간,출결상태
2024-09-02,2024-09-02 09:06,2024-09-02 17:52,526,출석
2024-09-03,2024-09-03 08:54,2024-09-03 17:56,542,출석
2024-09-04,2024-09-04 08:52,2024-09-04 17:52,540,출석
2024-09-05,2024-09-05 08:52,2024-09-05 17:51,539,출석
2024-09-06,2024-09-06 08:57,2024-09-06 17:51,534,출석
2024-09-09,2024-09-09 08:51,2024-09-09 17:52,541,출석
2024-09-10,2024-09-10 08:54,2024-09-10 18:02,548,출석
2024-09-11,2024-09-11 08:52,2024-09-11 17:51,539,출석
2024-09-12,2024-09-12 08:54,2024-09-12 17:52,538,출석
2024-09-13,2024-09-13 08:52,2024-09-13 17:54,542,출석
2024-09-23,2024-09-23 09:01,2024-09-23 17:53,532,출석
2024-09-24,2024-09-24 08:51,2024-09-24 17:50,539,출석
2024-09-25,2024-09-25 08:55,2024-09-25 17:50,535,출석
2024-09-26,2024-09-26 08:50,2024-09-26 17:53,543,출석
2024-09-27,2024-09-27 09:02,2024-09-27 17:50,528,출석
2024-09-30,2024-09-30 08:55,2024-09-30 17:50,535,출석
2024-10-01,2024-10-01 08:50,2024-10-01 17:52,542,출석
2024-10-02,2024-10-02 08:55,2024-10-02 17:51,536,출석
2024-10-07,2024-10-07 08:50,2024-10-07 17:54,544,출석
2024-10-08,2024-10-08 09:03,2024-10-08 17:58,535,출석
2024-10-10,2024-10-10 09:05,2024-10-10 17:50,525,출석
2024-10-11,2024-10-11 08:53,2024-10-11 17:51,538,출석
2024-10-14,2024-10-14 08:56,2024-10-14 17:51,535,출석
2024-10-15,2024-10-15 08:54,2024-10-15 17:52,538,출석
2024-10-16,2024-10-16 08:58,2024-10-16 17:51,533,출석
2024-10-17,2024-10-17 08:59,2024-10-17 17:52,533,출석
2024-10-18,2024-10-18 08:52,2024-10-18 17:50,538,출석
2024-10-21,2024-10-21 08:34,2024-10-21 18:02,568,출석
2024-10-22,2024-10-22 08:59,2024-10-22 14:02,303,조퇴
2024-10-23,2024-10-23 09:05,2024-10-23 17:50,525,출석
2024-10-24,NULL,NULL,0,휴가
2024-10-25,2024-10-25 08:52,2024-10-25 17:52,540,출석
2024-10-28,2024-10-28 08:52,2024-10-28 17:50,538,출석
2024-10-29,2024-10-29 08:53,2024-10-29 17:52,539,출석
